"","date","value","value.temp_max","value.temp_min","value.rain","value.wind_dir","value.wind_speed","value.humid","ds","fyear","logvalue","rain.lag1","rain.lag2"
"1",2010-08-24,3,17.9,6.5,0,170,2.6,48,236,"2010",1.38629436111989,NA,NA
"2",2010-08-25,0,25.9,9.1,1.4,120,1.4,24,237,"2010",0,0,NA
"3",2010-08-26,1,17.3,12.2,0,310,3.8,71,238,"2010",0.693147180559945,1.4,0
"4",2010-08-27,2,20.6,11.2,0,300,2.9,56,239,"2010",1.09861228866811,0,1.4
"5",2010-08-28,6,16.8,12.1,2,320,3,82,240,"2010",1.94591014905531,0,0
"6",2010-08-29,6,24.6,11.9,0,150,1.9,34,241,"2010",1.94591014905531,2,0
"7",2010-08-30,2,17.3,11.3,0,310,3.2,75,242,"2010",1.09861228866811,0,2
"8",2010-08-31,1,17.3,12.7,0,310,4.6,76,243,"2010",0.693147180559945,0,0
"9",2010-09-01,0,16.3,12.2,19.6,310,4.2,88,244,"2010",0,0,0
"10",2010-09-02,4,21.9,11.7,0,310,1.3,51,245,"2010",1.6094379124341,19.6,0
"11",2010-09-03,2,26.5,11.8,0,140,1.3,32,246,"2010",1.09861228866811,0,19.6
"12",2010-09-04,1,19.1,12.4,0,310,4.1,73,247,"2010",0.693147180559945,0,0
"13",2010-09-05,2,18.3,10.6,2.8,320,3.3,78,248,"2010",1.09861228866811,0,0
"14",2010-09-06,8,17.9,11.6,0.2,160,3.7,43,249,"2010",2.19722457733622,2.8,0
"15",2010-09-07,0,22,11.1,0,160,2.9,33,250,"2010",0,0.2,2.8
"16",2010-09-08,0,25.5,13.5,0,150,1.7,32,251,"2010",0,0,0.2
"17",2010-09-09,0,22.5,11.8,0.6,300,1.6,64,252,"2010",0,0,0
"18",2010-09-10,0,19.9,12.9,0,160,3.3,47,253,"2010",0,0.6,0
"19",2010-09-11,5,27.1,8.8,0,360,1.6,23,254,"2010",1.79175946922805,0,0.6
"20",2010-09-12,1,20.8,13.7,0,160,3.6,51,255,"2010",0.693147180559945,0,0
"21",2010-09-13,1,22.3,10.4,0,320,2.6,59,256,"2010",0.693147180559945,0,0
"22",2010-09-14,1,19.6,11.8,2.4,310,4.4,79,257,"2010",0.693147180559945,0,0
"23",2010-09-15,1,18.4,12.6,0.6,200,1.9,75,258,"2010",0.693147180559945,2.4,0
"24",2010-09-16,2,17.2,10.9,0,150,3.8,51,259,"2010",1.09861228866811,0.6,2.4
"25",2010-09-17,12,24.3,13.4,0,140,1.7,31,260,"2010",2.56494935746154,0,0.6
"26",2010-09-18,4,25.3,12.8,0,0,0,43,261,"2010",1.6094379124341,0,0
"27",2010-09-19,9,19.3,12.9,0,310,4,87,262,"2010",2.30258509299405,0,0
"28",2010-09-20,0,18.9,12.7,0.8,300,3.1,68,263,"2010",0,0,0
"29",2010-09-21,1,19.6,12.9,0,30,3.7,75,264,"2010",0.693147180559945,0.8,0
"30",2010-09-22,8,20.2,13.6,0,310,3,60,265,"2010",2.19722457733622,0,0.8
"31",2010-09-23,13,18.6,11.4,0,290,2.5,76,266,"2010",2.63905732961526,0,0
"32",2010-09-24,3,20.6,11.5,0,160,2.5,31,267,"2010",1.38629436111989,0,0
"33",2010-09-25,4,21.4,12.7,0,160,2.7,48,268,"2010",1.6094379124341,0,0
"34",2010-09-26,1,17.4,11.1,8.6,300,2.4,86,269,"2010",0.693147180559945,0,0
"35",2010-09-27,1,19.5,12,0.2,170,2.7,41,270,"2010",0.693147180559945,8.6,0
"36",2010-09-28,7,22.9,10.3,0,140,2,40,271,"2010",2.07944154167984,0.2,8.6
"37",2010-09-29,5,22.3,12.3,0,140,2.9,58,272,"2010",1.79175946922805,0,0.2
"38",2010-09-30,9,20.7,14,0,150,3.1,52,273,"2010",2.30258509299405,0,0
"39",2010-10-01,7,23.8,11.7,0,170,1.5,53,274,"2010",2.07944154167984,0,0
"40",2010-10-02,6,21.1,14.7,0,180,4,61,275,"2010",1.94591014905531,0,0
"41",2010-10-03,5,22.7,15.1,0,180,4.2,68,276,"2010",1.79175946922805,0,0
"42",2010-10-04,19,25.3,16.5,0,180,3.7,48,277,"2010",2.99573227355399,0,0
"43",2010-10-05,18,27.4,16.2,0,340,1.8,50,278,"2010",2.94443897916644,0,0
"44",2010-10-06,8,30,14.8,0,120,1.6,33,279,"2010",2.19722457733622,0,0
"45",2010-10-07,3,19.3,15.1,3.2,310,5.8,78,280,"2010",1.38629436111989,0,0
"46",2010-10-08,12,22.5,14.2,0,120,1.8,47,281,"2010",2.56494935746154,3.2,0
"47",2010-10-09,13,26.8,12.2,0,310,1.6,28,282,"2010",2.63905732961526,0,3.2
"48",2010-10-10,0,17.3,13.4,12.6,310,6.1,72,283,"2010",0,0,0
"49",2010-10-11,5,17.5,10.4,1.2,260,3.8,48,284,"2010",1.79175946922805,12.6,0
"50",2010-10-12,18,19.2,9.1,0,160,2.2,44,285,"2010",2.94443897916644,1.2,12.6
"51",2010-10-13,19,20.1,12.7,0,180,5.8,53,286,"2010",2.99573227355399,0,1.2
"52",2010-10-14,3,20.5,13,0,160,2.5,52,287,"2010",1.38629436111989,0,0
"53",2010-10-15,19,20.6,12.3,0,170,3.2,47,288,"2010",2.99573227355399,0,0
"54",2010-10-16,30,25.2,12.5,0,150,2.1,37,289,"2010",3.43398720448515,0,0
"55",2010-10-17,23,33.2,12.8,0,290,2,14,290,"2010",3.17805383034795,0,0
"56",2010-10-18,24,22.1,14,0,310,2.8,54,291,"2010",3.2188758248682,0,0
"57",2010-10-19,19,20.9,13.4,0.2,310,4.1,63,292,"2010",2.99573227355399,0,0
"58",2010-10-20,6,20.1,11.3,1.8,300,4.2,55,293,"2010",1.94591014905531,0.2,0
"59",2010-10-21,16,19.6,12.9,1.4,300,3.9,54,294,"2010",2.83321334405622,1.8,0.2
"60",2010-10-22,5,19.6,12.2,0.2,270,2.8,46,295,"2010",1.79175946922805,1.4,1.8
"61",2010-10-23,11,21.2,10.3,0,180,1.7,58,296,"2010",2.484906649788,0.2,1.4
"62",2010-10-24,161,21.1,14.4,0.6,160,1.8,62,297,"2010",5.08759633523238,0,0.2
"63",2010-10-25,3,22.1,13.3,0,150,3.7,42,298,"2010",1.38629436111989,0.6,0
"64",2010-10-26,27,25.9,15,0,170,2.4,32,299,"2010",3.3322045101752,0,0.6
"65",2010-10-27,21,22.6,15.2,0,170,4.8,61,300,"2010",3.09104245335832,0,0
"66",2010-10-28,30,22.9,14.6,0,160,3.1,51,301,"2010",3.43398720448515,0,0
"67",2010-10-29,35,23.9,15,0,140,2.2,43,302,"2010",3.58351893845611,0,0
"68",2010-10-30,28,20,14.4,0,160,3.5,66,303,"2010",3.36729582998647,0,0
"69",2010-10-31,19,22.3,14.1,0,170,4.2,53,304,"2010",2.99573227355399,0,0
"70",2010-11-01,23,28.7,16.2,0,150,2.5,48,305,"2010",3.17805383034795,0,0
"71",2010-11-02,44,27.1,15.7,0,320,2.4,50,306,"2010",3.80666248977032,0,0
"72",2010-11-03,62,20.2,14.6,4,310,4,69,307,"2010",4.14313472639153,0,0
"73",2010-11-04,6,20.8,11.4,0,260,1.7,48,308,"2010",1.94591014905531,4,0
"74",2010-11-05,13,20.1,11.5,0,310,3,37,309,"2010",2.63905732961526,0,4
"75",2010-11-06,25,22,12.2,0,180,2.4,41,310,"2010",3.25809653802148,0,0
"76",2010-11-07,21,26.2,12.6,0,310,2.3,30,311,"2010",3.09104245335832,0,0
"77",2010-11-08,6,20.4,12.9,6.2,310,2.5,61,312,"2010",1.94591014905531,0,0
"78",2010-11-09,8,19.7,13.9,0.2,160,3.6,49,313,"2010",2.19722457733622,6.2,0
"79",2010-11-10,28,27.9,14.1,0,310,2.1,30,314,"2010",3.36729582998647,0.2,6.2
"80",2010-11-11,9,20.9,13.5,5.8,320,4.2,54,315,"2010",2.30258509299405,0,0.2
"81",2010-11-12,7,22.4,13.8,0,240,2,43,316,"2010",2.07944154167984,5.8,0
"82",2010-11-13,0,24.4,14.7,0.2,170,1.8,43,317,"2010",0,0,5.8
"83",2010-11-14,32,28.6,14.5,0,170,3.1,37,318,"2010",3.49650756146648,0.2,0
"84",2010-11-15,15,28.6,17.8,0,150,3,47,319,"2010",2.77258872223978,0,0.2
"85",2010-11-16,31,24.7,17.5,0,180,5.6,51,320,"2010",3.46573590279973,0,0
"86",2010-11-17,40,27.5,18.2,0,180,3.8,45,321,"2010",3.71357206670431,0,0
"87",2010-11-18,46,27.2,17,0,290,3.4,49,322,"2010",3.85014760171006,0,0
"88",2010-11-19,14,22.3,15.4,0,300,4.1,51,323,"2010",2.70805020110221,0,0
"89",2010-11-20,8,20.2,15.3,9,290,3.8,70,324,"2010",2.19722457733622,0,0
"90",2010-11-21,1,20.4,14.6,1,170,2.8,66,325,"2010",0.693147180559945,9,0
"91",2010-11-22,26,22.1,13.5,0,210,2.6,45,326,"2010",3.29583686600433,1,9
"92",2010-11-23,21,20.2,14.3,0,160,4.9,46,327,"2010",3.09104245335832,0,1
"93",2010-11-24,16,27.7,15.2,0,190,3.9,34,328,"2010",2.83321334405622,0,0
"94",2010-11-25,8,26.4,17.6,0,190,5.5,55,329,"2010",2.19722457733622,0,0
"95",2010-11-26,10,28.6,13.1,0,150,1.9,47,330,"2010",2.39789527279837,0,0
"96",2010-11-27,5,24.5,13.3,0,280,1.6,47,331,"2010",1.79175946922805,0,0
"97",2010-11-28,5,21.7,15.4,0,130,3,45,332,"2010",1.79175946922805,0,0
"98",2010-11-29,4,23.9,15.2,0,140,2.7,43,333,"2010",1.6094379124341,0,0
"99",2010-11-30,19,25.7,15.9,0,160,2.2,44,334,"2010",2.99573227355399,0,0
"100",2010-12-01,17,25.3,15.6,0,180,2.2,48,335,"2010",2.89037175789616,0,0
"101",2010-12-02,19,26.3,16,12.8,190,4.2,50,336,"2010",2.99573227355399,0,0
"102",2010-12-03,3,23.5,15.7,1,190,2.5,59,337,"2010",1.38629436111989,12.8,0
"103",2010-12-04,6,26.5,15.3,0.2,70,1.3,53,338,"2010",1.94591014905531,1,12.8
"104",2010-12-05,14,22,15.1,0,160,4.4,44,339,"2010",2.70805020110221,0.2,1
"105",2010-12-06,17,25.1,15.8,0,180,4.9,38,340,"2010",2.89037175789616,0,0.2
"106",2010-12-07,15,30,16.9,0,170,3.6,31,341,"2010",2.77258872223978,0,0
"107",2010-12-08,15,33.3,14.7,0,150,2.2,25,342,"2010",2.77258872223978,0,0
"108",2010-12-09,12,28.7,12.5,0,130,1.6,43,343,"2010",2.56494935746154,0,0
"109",2010-12-10,11,24.5,17.7,0,180,4.3,62,344,"2010",2.484906649788,0,0
"110",2010-12-11,6,23.3,16.1,0,180,5.6,57,345,"2010",1.94591014905531,0,0
"111",2010-12-12,12,28.3,17.4,0,170,3.1,41,346,"2010",2.56494935746154,0,0
"112",2010-12-13,36,23.9,16.2,0,180,5.4,58,347,"2010",3.61091791264422,0,0
"113",2010-12-14,24,32,17.2,0,190,4.3,40,348,"2010",3.2188758248682,0,0
"114",2010-12-15,13,25.4,19.4,0,190,3.1,45,349,"2010",2.63905732961526,0,0
"115",2010-12-16,15,27.2,18.1,0,130,3,37,350,"2010",2.77258872223978,0,0
"116",2010-12-17,8,28.4,15.2,0,160,2.4,42,351,"2010",2.19722457733622,0,0
"117",2010-12-18,11,27.9,16.2,0,310,3.5,50,352,"2010",2.484906649788,0,0
"118",2010-12-19,13,26.8,16,0,170,4.5,65,353,"2010",2.63905732961526,0,0
"119",2010-12-20,24,32.4,20.6,0,170,3.4,37,354,"2010",3.2188758248682,0,0
"120",2010-12-21,12,32.2,16,0,140,1.6,43,355,"2010",2.56494935746154,0,0
"121",2010-12-22,2,22.6,17.6,0,300,3.2,70,356,"2010",1.09861228866811,0,0
"122",2010-12-23,2,29.2,18,0,280,2.2,34,357,"2010",1.09861228866811,0,0
"123",2010-12-24,8,25.3,17.6,0,160,3.1,64,358,"2010",2.19722457733622,0,0
"124",2010-12-25,7,27.1,18.1,0,180,4.6,55,359,"2010",2.07944154167984,0,0
"125",2010-12-26,6,28.5,18.2,0,160,3.4,47,360,"2010",1.94591014905531,0,0
"126",2010-12-27,7,24,17.1,0,180,5.2,61,361,"2010",2.07944154167984,0,0
