"","pollen_count","date"
"336",0,2018-09-11
"337",5,2018-09-12
"338",3,2018-09-13
"339",0,2018-09-14
"340",0,2018-09-15
"341",17,2018-09-16
"342",4,2018-09-17
"343",1,2018-09-18
"344",2,2018-09-19
"345",17,2018-09-20
"346",10,2018-09-21
"347",4,2018-09-22
"348",36,2018-09-23
"349",130,2018-09-24
"350",11,2018-09-25
"351",20,2018-09-26
"352",7,2018-09-27
"353",3,2018-09-28
"354",14,2018-09-29
"355",52,2018-09-30
"356",44,2018-10-01
"357",5,2018-10-02
"358",49,2018-10-03
"359",58,2018-10-04
"360",124,2018-10-05
"361",48,2018-10-06
"362",71,2018-10-07
"363",80,2018-10-08
"364",48,2018-10-09
"365",33,2018-10-10
"366",72,2018-10-11
"367",87,2018-10-12
"368",80,2018-10-13
"369",73,2018-10-14
"370",31,2018-10-15
"371",61,2018-10-16
"372",49,2018-10-17
"373",39,2018-10-18
"374",38,2018-10-19
"375",35,2018-10-20
"376",35,2018-10-21
"377",11,2018-10-22
"378",113,2018-10-23
"379",76,2018-10-24
"380",56,2018-10-25
"381",21,2018-10-26
"382",39,2018-10-27
"383",80,2018-10-28
"384",14,2018-10-29
"385",24,2018-10-30
"386",39,2018-10-31
"387",33,2018-11-01
"388",41,2018-11-02
"389",41,2018-11-03
"390",47,2018-11-04
"391",12,2018-11-05
"392",0,2018-11-06
"393",21,2018-11-07
"394",4,2018-11-08
"395",16,2018-11-09
"396",17,2018-11-10
"397",33,2018-11-11
"398",5,2018-11-12
"399",0,2018-11-13
"400",21,2018-11-14
"401",19,2018-11-15
"402",33,2018-11-16
"403",46,2018-11-17
"404",21,2018-11-18
"405",54,2018-11-19
"406",14,2018-11-20
"407",20,2018-11-21
"408",10,2018-11-22
"409",7,2018-11-23
"410",25,2018-11-24
"411",18,2018-11-25
"412",29,2018-11-26
"413",5,2018-11-27
"414",8,2018-11-28
"415",23,2018-11-29
"416",13,2018-11-30
"417",34,2018-12-01
"418",4,2018-12-02
"419",5,2018-12-03
"420",5,2018-12-04
"421",0,2018-12-05
