Date;Count;Minimum;Maximum;Range;Mean;Standard Deviation;Variance;Upper Quartile;Upper 1.5 IQR;Median;Lower 1.5 IQR;Lower Quartile
2011-04-23;1052.0;-0.1018;0.8533;(-0.1018,0.8533);0.4916;0.1665;0.0277;0.6027;0.8533;0.5152;0.1268;0.4119
2011-05-09;1054.0;-0.1153;0.8597;(-0.1153,0.8597);0.4977;0.166;0.0276;0.6102;0.8597;0.5186;0.125;0.4151
2011-05-25;1052.0;-0.1241;0.8771;(-0.1241,0.8771);0.5204;0.1672;0.028;0.6268;0.8771;0.5454;0.1833;0.4471
2011-06-10;1067.0;-0.0548;0.8839;(-0.0548,0.8839);0.5337;0.1584;0.0251;0.6428;0.8839;0.5555;0.1767;0.4536
2011-06-26;1052.0;-0.0629;0.8981;(-0.0629,0.8981);0.5346;0.1547;0.0239;0.6272;0.86;0.5639;0.2318;0.4681
2011-07-12;1068.0;-0.0299;0.911;(-0.0299,0.911);0.5415;0.1587;0.0252;0.6459;0.911;0.5682;0.1936;0.4628
2011-07-28;1055.0;-0.1437;0.8819;(-0.1437,0.8819);0.542;0.1618;0.0262;0.6454;0.8819;0.5726;0.2146;0.4726
2011-08-13;1041.0;-0.0505;0.844;(-0.0505,0.844);0.5348;0.1543;0.0238;0.6319;0.844;0.5606;0.2197;0.4665
2011-08-29;1040.0;-0.1458;0.8388;(-0.1458,0.8388);0.5347;0.155;0.024;0.6371;0.8388;0.5622;0.2078;0.4653
2011-09-14;1054.0;-0.0475;0.8544;(-0.0475,0.8544);0.5311;0.1546;0.0239;0.6368;0.8544;0.5557;0.2197;0.465
2011-09-30;1057.0;-0.1722;0.8313;(-0.1722,0.8313);0.5238;0.1596;0.0255;0.6288;0.8313;0.5485;0.1981;0.4563
2011-10-16;1062.0;-0.0674;0.886;(-0.0674,0.886);0.5079;0.182;0.0331;0.6394;0.886;0.5472;0.0779;0.4122
2011-11-01;1048.0;-0.0702;0.835;(-0.0702,0.835);0.5125;0.1577;0.0249;0.6218;0.835;0.5424;0.1673;0.4392
