File Name;Dataset;aid;Date;Count;Minimum;Maximum;Range;Mean;Standard Deviation;Variance;Upper Quartile;Upper 1.5 IQR;Median;Lower 1.5 IQR;Lower Quartile
MOD13Q1_006__250m_16_days_EVI_doy2010017_aid0001;_250m_16_days_EVI;aid0001;2010-01-17;593.0;-0.0411;0.5263;(-0.0411,0.5263);0.1579;0.0966;0.0093;0.2216;0.4022;0.1426;-0.0411;0.0897
MOD13Q1_006__250m_16_days_EVI_doy2010033_aid0001;_250m_16_days_EVI;aid0001;2010-02-02;602.0;-0.0113;0.5162;(-0.0113,0.5162);0.153;0.0934;0.0087;0.2141;0.4021;0.1353;-0.0113;0.0843
MOD13Q1_006__250m_16_days_EVI_doy2010049_aid0001;_250m_16_days_EVI;aid0001;2010-02-18;607.0;-0.0424;0.5588;(-0.0424,0.5588);0.1492;0.0954;0.0091;0.214;0.3907;0.1348;-0.0424;0.0792
MOD13Q1_006__250m_16_days_EVI_doy2010065_aid0001;_250m_16_days_EVI;aid0001;2010-03-06;607.0;-0.0271;0.5562;(-0.0271,0.5562);0.1485;0.0936;0.0088;0.2102;0.4014;0.1355;-0.0271;0.076
MOD13Q1_006__250m_16_days_EVI_doy2010081_aid0001;_250m_16_days_EVI;aid0001;2010-03-22;607.0;-0.0207;0.5446;(-0.0207,0.5446);0.1476;0.0955;0.0091;0.2008;0.3788;0.124;-0.0207;0.081
MOD13Q1_006__250m_16_days_EVI_doy2010097_aid0001;_250m_16_days_EVI;aid0001;2010-04-07;607.0;-0.0295;0.5492;(-0.0295,0.5492);0.1483;0.0967;0.0093;0.2087;0.4044;0.1325;-0.0295;0.0772
MOD13Q1_006__250m_16_days_EVI_doy2010113_aid0001;_250m_16_days_EVI;aid0001;2010-04-23;599.0;-0.0168;0.5457;(-0.0168,0.5457);0.1529;0.0951;0.009;0.211;0.4023;0.1424;-0.0168;0.0828
MOD13Q1_006__250m_16_days_EVI_doy2010129_aid0001;_250m_16_days_EVI;aid0001;2010-05-09;603.0;-0.0832;0.6464;(-0.0832,0.6464);0.164;0.108;0.0117;0.2315;0.4388;0.1505;-0.0832;0.0835
MOD13Q1_006__250m_16_days_EVI_doy2010145_aid0001;_250m_16_days_EVI;aid0001;2010-05-25;604.0;-0.0483;0.5876;(-0.0483,0.5876);0.1843;0.1091;0.0119;0.2526;0.4748;0.177;-0.0483;0.0972
MOD13Q1_006__250m_16_days_EVI_doy2010161_aid0001;_250m_16_days_EVI;aid0001;2010-06-10;598.0;-0.0532;0.5585;(-0.0532,0.5585);0.1981;0.1093;0.0119;0.261;0.4783;0.1957;-0.0532;0.1151
MOD13Q1_006__250m_16_days_EVI_doy2010177_aid0001;_250m_16_days_EVI;aid0001;2010-06-26;603.0;-0.0568;0.5571;(-0.0568,0.5571);0.2059;0.1193;0.0142;0.2826;0.5338;0.1959;-0.0568;0.1121
MOD13Q1_006__250m_16_days_EVI_doy2010193_aid0001;_250m_16_days_EVI;aid0001;2010-07-12;607.0;-0.0804;0.6121;(-0.0804,0.6121);0.2049;0.1126;0.0127;0.2693;0.4832;0.199;-0.0804;0.1256
MOD13Q1_006__250m_16_days_EVI_doy2010209_aid0001;_250m_16_days_EVI;aid0001;2010-07-28;601.0;-0.0403;0.593;(-0.0403,0.593);0.1911;0.1211;0.0147;0.2681;0.5294;0.1831;-0.0403;0.0879
MOD13Q1_006__250m_16_days_EVI_doy2010225_aid0001;_250m_16_days_EVI;aid0001;2010-08-13;603.0;-0.0215;0.6102;(-0.0215,0.6102);0.2118;0.1117;0.0125;0.2868;0.5199;0.2079;-0.0215;0.1255
MOD13Q1_006__250m_16_days_EVI_doy2010241_aid0001;_250m_16_days_EVI;aid0001;2010-08-29;600.0;-0.0545;0.6205;(-0.0545,0.6205);0.2117;0.1199;0.0144;0.2839;0.5328;0.2064;-0.0545;0.117
MOD13Q1_006__250m_16_days_EVI_doy2010257_aid0001;_250m_16_days_EVI;aid0001;2010-09-14;601.0;-0.0223;0.6306;(-0.0223,0.6306);0.2055;0.114;0.013;0.2701;0.4934;0.2045;-0.0223;0.1138
MOD13Q1_006__250m_16_days_EVI_doy2010273_aid0001;_250m_16_days_EVI;aid0001;2010-09-30;596.0;-0.0362;0.6554;(-0.0362,0.6554);0.1942;0.1135;0.0129;0.2563;0.4639;0.1832;-0.0362;0.1093
MOD13Q1_006__250m_16_days_EVI_doy2010289_aid0001;_250m_16_days_EVI;aid0001;2010-10-16;593.0;-0.0253;0.6596;(-0.0253,0.6596);0.189;0.1181;0.0139;0.2566;0.4927;0.171;-0.0253;0.0988
MOD13Q1_006__250m_16_days_EVI_doy2010305_aid0001;_250m_16_days_EVI;aid0001;2010-11-01;607.0;-0.0218;0.669;(-0.0218,0.669);0.1699;0.1056;0.0112;0.2348;0.4332;0.1489;-0.0218;0.0958
